,phoneme_real,entropy_H,total_freq_sum,n_realizations,top_grapheme,top_grapheme_freq,top_grapheme_pct,variants,weight
15,j,1.4278,5523123,6,я,3220076,58.3,"я (58.3%), й (26.0%), е (15.0%), ю (0.4%), ё (0.2%), и (0.1%)",0.025785244879790236
31,sc,1.2685,68237,3,ч,33061,48.45,"ч (48.5%), щ (45.5%), с (6.1%)",0.0003185711697643247
29,s,0.9846,6005023,2,с,3440916,57.3,"с (57.3%), з (42.7%)",0.028035042595244142
32,sh,0.7786,5437853,3,ч,4559331,83.84,"ч (83.8%), ш (11.4%), ж (4.7%)",0.02538715346830081
1,a,0.7331,24838855,2,а,19730799,79.44,"а (79.4%), я (20.6%)",0.11596264626165344
10,f',0.7142,100693,2,в,80938,80.38,"в (80.4%), ф (19.6%)",0.0004700952093010998
4,c,0.6572,198264,2,ц,164599,83.02,"ц (83.0%), с (17.0%)",0.0009256150534483356
25,p,0.491,4429005,2,п,3954767,89.29,"п (89.3%), б (10.7%)",0.020677247002975553
34,t',0.4588,3428013,2,т,3096197,90.32,"т (90.3%), д (9.7%)",0.016004017049068862
16,k,0.4157,8094391,2,к,7415539,91.61,"к (91.6%), г (8.4%)",0.03778946333220719
33,t,0.3889,15932361,2,т,14717082,92.37,"т (92.4%), д (7.6%)",0.07438179991613796
24,o,0.3748,24516211,2,о,22741223,92.76,"о (92.8%), ё (7.2%)",0.11445635090140253
38,y,0.367,5325166,2,ы,4950917,92.97,"ы (93.0%), и (7.0%)",0.024861063086144025
35,u,0.2616,3937939,2,у,3763566,95.57,"у (95.6%), ю (4.4%)",0.018384656911800856
9,f,0.2531,3032298,2,в,2903782,95.76,"в (95.8%), ф (4.2%)",0.014156582512918538
30,s',0.2151,4407433,2,с,4256645,96.58,"с (96.6%), з (3.4%)",0.020576535991733032
13,h,0.2072,2338737,2,х,2262536,96.74,"х (96.7%), г (3.3%)",0.010918624527178913
26,p',0.1324,262972,2,п,258133,98.16,"п (98.2%), б (1.8%)",0.0012277107383862713
39,z,0.0823,1981214,2,з,1960955,98.98,"з (99.0%), с (1.0%)",0.009249493112731462
8,e,0.0261,16361323,2,е,16318788,99.74,"е (99.7%), э (0.3%)",0.07638445135339993
6,d,-0.0,4151925,1,д,4151925,100.0,д (100.0%),0.01938367167407336
2,b,-0.0,2723868,1,б,2723868,100.0,б (100.0%),0.012716646614646183
7,d',-0.0,1468370,1,д,1468370,100.0,д (100.0%),0.0068552302789812196
3,b',-0.0,440169,1,б,440169,100.0,б (100.0%),0.0020549724229376003
5,ch,-0.0,1125773,1,ч,1125773,100.0,ч (100.0%),0.005255782368789558
22,n,-0.0,12998641,1,н,12998641,100.0,н (100.0%),0.06068543852626158
23,n',-0.0,10905946,1,н,10905946,100.0,н (100.0%),0.05091548536141035
20,m,-0.0,6087567,1,м,6087567,100.0,м (100.0%),0.028420407406666483
21,m',-0.0,268615,1,м,268615,100.0,м (100.0%),0.0012540556408729001
19,l',-0.0,2849550,1,л,2849550,100.0,л (100.0%),0.013303405436961348
18,l,-0.0,2366754,1,л,2366754,100.0,л (100.0%),0.011049424657068666
14,i,-0.0,21003726,1,и,21003726,100.0,и (100.0%),0.09805796798261003
17,k',-0.0,27013,1,к,27013,100.0,к (100.0%),0.00012611285679094483
11,g,-0.0,828833,1,г,828833,100.0,г (100.0%),0.003869488669626076
12,g',-0.0,3125,1,г,3125,100.0,г (100.0%),1.4589370949976035e-05
27,r,-0.0,2148329,1,р,2148329,100.0,р (100.0%),0.010029685985149141
28,r',-0.0,1289362,1,р,1289362,100.0,р (100.0%),0.00601951376217696
37,v',-0.0,896567,1,в,896567,100.0,в (100.0%),0.004185711534242293
36,v,-0.0,3796022,1,в,3796022,100.0,в (100.0%),0.017722103389526376
40,z',-0.0,676935,1,з,676935,100.0,з (100.0%),0.0031603378636870486
41,zh,-0.0,1920834,1,ж,1920834,100.0,ж (100.0%),0.008967603122984405
